what,kind,bundleId,bundleVersion,description,time
error,log,,,"Resource is out of sync with the file system: '/ex1/page_2.html'.",1409028964912
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1409028966171
error,log,,,"Resource is out of sync with the file system: '/ex1/.buildpath'.",1409028967791
error,log,,,"Resource is out of sync with the file system: '/ex1/.project'.",1409028967793
error,log,,,"Resource is out of sync with the file system: '/ex1/.settings/org.eclipse.php.core.prefs'.",1409028967795
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1409028968775
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1409028968782
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1409028968941
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1409028969159
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1409028969205
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409028974982
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409028975025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029011823
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409029035732
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409029036555
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029038009
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409029039224
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029047589
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029047635
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1409029048615
started,bundle,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui",1409029048620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029049927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029051958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029051976
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029053119
started,bundle,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser",1409029053164
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029053448
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029053484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409029056772
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029057902
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029077021
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029079771
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029079771
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409029093413
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029093413
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409029095464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029102429
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029103701
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1409029103704
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1409029103704
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1409029103820
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409029113579
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029128806
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409029129800
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029129982
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029130052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029159098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029211183
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029215175
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029216419
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029219379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029219391
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029220435
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029220589
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029220611
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029229074
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029229074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029231780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029234592
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029236833
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029236854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409029238873
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029239868
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029379410
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029381197
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409029383720
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409029388198
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1409029388330
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1409029388333
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1409029388341
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1409029388345
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1409029388346
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1409029388384
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1409029388386
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029389605
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029389697
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029389714
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029392898
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029392898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029395144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029437282
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409029442564
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409029446873
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409029479757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409029484576
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409029488040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029490510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029558077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409029566093
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1409029584399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029598781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029600207
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029601461
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029602406
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029602428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1409029604677
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029606051
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1409029606051
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029607528
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1409029632147
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409029639850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1409029649581
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1409029651330
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409029651796
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409029651839
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029654279
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409029654715
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1409029654715
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1409029660054
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1409029665866
